eenheid,label,csor_symbool,matchType,qudt_uri,qudt_symbool,http_status,edit_distance_raw,edit_distance_genormaliseerd,categorie,redirect_statuses,final_url,permanent_redirect,payload_subject_matches
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_50,kubieke meter per jaar,m³/jr,exactMatch,http://qudt.org/vocab/unit/M3-PER-YR,m³/a,200,2,0,notatie_only,302,https://qudt.org/vocab/unit/M3-PER-YR,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_332,nanogram stikstof per liter,ngN/L,broadMatch,http://qudt.org/vocab/unit/NanoGM-PER-L,ng/L,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/NanoGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_5,kilogram per kubieke meter,kg/m³,exactMatch,http://qudt.org/vocab/unit/KiloGM-PER-M3,kg/m³,200,0,0,exact,302,https://qudt.org/vocab/unit/KiloGM-PER-M3,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_297,milligram Fosfaat per liter,mgPO4/L,broadMatch,http://qudt.org/vocab/unit/MilliGM-PER-L,mg/L,200,3,3,afwijkend,302,https://qudt.org/vocab/unit/MilliGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_37,milligram,mg,exactMatch,http://qudt.org/vocab/unit/MilliGM,mg,200,0,0,exact,302,https://qudt.org/vocab/unit/MilliGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_36,gram,g,exactMatch,http://qudt.org/vocab/unit/GM,g,200,0,0,exact,302,https://qudt.org/vocab/unit/GM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_77,millimeter per dag,mm/d,exactMatch,http://qudt.org/vocab/unit/MilliM-PER-DAY,mm/d,200,0,0,exact,302,https://qudt.org/vocab/unit/MilliM-PER-DAY,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_121,kilogram koolstof per dag,kgC/d,broadMatch,http://qudt.org/vocab/unit/KiloGM-PER-DAY,kg/d,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/KiloGM-PER-DAY,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_373,gram stikstof per kilogram,gN/kg,broadMatch,http://qudt.org/vocab/unit/GM-PER-KiloGM,g/kg,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/GM-PER-KiloGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_71,millivolt,mV,exactMatch,http://qudt.org/vocab/unit/MilliV,mV,200,0,0,exact,302,https://qudt.org/vocab/unit/MilliV,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_175,normaal kubieke meter per uur,Nm³/u,broadMatch,http://qudt.org/vocab/unit/M3-PER-HR,m³/h,200,2,1,afwijkend,302,https://qudt.org/vocab/unit/M3-PER-HR,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_134,milligram tin per kilogram droge stof,mgSn/kg ds,broadMatch,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,mg/kg,200,5,5,afwijkend,302,https://qudt.org/vocab/unit/MilliGM-PER-KiloGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_184,gram fluor,gF,broadMatch,http://qudt.org/vocab/unit/GM,g,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/GM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_103,milligram stikstof per liter,mgN/L,broadMatch,http://qudt.org/vocab/unit/MilliGM-PER-L,mg/L,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/MilliGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_13,kilogram per uur,kg/u,exactMatch,http://qudt.org/vocab/unit/KiloGM-PER-HR,kg/h,200,1,0,notatie_only,302,https://qudt.org/vocab/unit/KiloGM-PER-HR,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_97,microgram per kilogram droge stof,µg/kg ds,broadMatch,http://qudt.org/vocab/unit/MicroGM-PER-KiloGM,μg/kg,200,4,3,afwijkend,302,https://qudt.org/vocab/unit/MicroGM-PER-KiloGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_327,gram per normaal kubieke meter,g/Nm³,broadMatch,http://qudt.org/vocab/unit/GM-PER-M3,g/m³,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/GM-PER-M3,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_138,microgram zwavel per liter,µgS/L,broadMatch,http://qudt.org/vocab/unit/MicroGM-PER-L,μg/L,200,2,1,afwijkend,302,https://qudt.org/vocab/unit/MicroGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_145,kilogram fosfor per jaar,kgP/jr,broadMatch,http://qudt.org/vocab/unit/KiloGM-PER-YR,kg/a,200,3,1,afwijkend,302,https://qudt.org/vocab/unit/KiloGM-PER-YR,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_113,kilogram stifstof,kgN,broadMatch,http://qudt.org/vocab/unit/KiloGM,kg,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/KiloGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_102,milligram zuurstof per liter,mgO2/L,broadMatch,http://qudt.org/vocab/unit/MilliGM-PER-L,mg/L,200,2,2,afwijkend,302,https://qudt.org/vocab/unit/MilliGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_125,milligram stikstof per kilogram droge stof,mgN/kg ds,broadMatch,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,mg/kg,200,4,4,afwijkend,302,https://qudt.org/vocab/unit/MilliGM-PER-KiloGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_111,milligram stikstof,mgN,broadMatch,http://qudt.org/vocab/unit/MilliGM,mg,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/MilliGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_12,kilogram per jaar,kg/jr,exactMatch,http://qudt.org/vocab/unit/KiloGM-PER-YR,kg/a,200,2,0,notatie_only,302,https://qudt.org/vocab/unit/KiloGM-PER-YR,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_144,kilogram fosfor per uur,kgP/u,broadMatch,http://qudt.org/vocab/unit/KiloGM-PER-HR,kg/h,200,2,1,afwijkend,302,https://qudt.org/vocab/unit/KiloGM-PER-HR,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_317,gram koolstof per liter,gC/L,broadMatch,http://qudt.org/vocab/unit/GM-PER-L,g/L,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/GM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_33,liter,L,exactMatch,http://qudt.org/vocab/unit/L,L,200,0,0,exact,302,https://qudt.org/vocab/unit/L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_79,mol,mol,exactMatch,http://qudt.org/vocab/unit/MOL,mol,200,0,0,exact,302,https://qudt.org/vocab/unit/MOL,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_117,kilogram zuurstof per jaar,kgO2/jr,broadMatch,http://qudt.org/vocab/unit/KiloGM-PER-YR,kg/a,200,4,2,afwijkend,302,https://qudt.org/vocab/unit/KiloGM-PER-YR,False,True
