subject,predicaat,klasse,tekst,flag_type,detail,suggestie
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4006,prefLabel,Parameter,"Ijzer, driewaardig opgelost in water",gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2687,altLabel,Parameter,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_433,prefLabel,Parameter,Ijzer in water,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1991,altLabel,Parameter,Ijzer MUCd project totaal,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2687,prefLabel,Parameter,Ijzer in wet-only depositie (prec),gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1986,verkorteNotatie,Parameter,Ijzer MUC project totaal,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4003,verkorteNotatie,Parameter,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1240,altLabel,Parameter,Ijzer totaal,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2686,altLabel,Parameter,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2583,altLabel,Parameter,Caffeïne,gekende_fout,'Caffeïne' komt voor als foutieve vorm in opentaal-corrections.tsv,cafeïne
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_434,verkorteNotatie,Parameter,Ijzer opgelost,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_337,prefLabel,Variabele,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1992,prefLabel,Parameter,Ijzer MUCd project opgelost in water,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4005,verkorteNotatie,Parameter,"Ijzer, tweewaardig opgelost",gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1259,verkorteNotatie,Parameter,Caffeïne,gekende_fout,'Caffeïne' komt voor als foutieve vorm in opentaal-corrections.tsv,cafeïne
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1241,altLabel,Parameter,Ijzer totaal,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_956,prefLabel,Parameter,"Ijzer, tweewaardig in water",gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4006,altLabel,Parameter,"Ijzer, driewaardig opgelost",gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1987,altLabel,Parameter,Ijzer MUC project opgelost,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1987,prefLabel,Parameter,Ijzer MUC project opgelost in water,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1859,prefLabel,Parameter,Ijzer multi totaal in water,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2682,prefLabel,Parameter,Ijzer in lucht,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2684,verkorteNotatie,Parameter,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_4257,prefLabel,ParameterAspect,Caffeïne (standaard in lucht): vracht per tijd,gekende_fout,'Caffeïne' komt voor als foutieve vorm in opentaal-corrections.tsv,cafeïne
