somVariabele,somLabel,bronParameter,bronLabel,aantalKandidaten
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_1533,"1,2,4-Triazool",https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2344,"3H-1,2,4-Triazool in water",0
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_1533,"1,2,4-Triazool",https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2345,"4H-1,2,4-Triazool in water",0
